,,,,,
,skilltile_ID,스킬 타일 ID,,,
,,,,,
,설명,,,,
,스킬 타일의 속성을 지닌 5자리 ID,,,,
,,,,,
,,,,,
,upgrade_type,스킬 강화 타입,,,
,,,,,
,설명,,,타입,
,할당 된 int별로 구분 되는 스킬 강화의 타입,,,01,채굴 속도 증가 (3/3)
,,,,02,채굴 범위 증가 (3/3)
,,,,03,채굴 데미지 증가 (3/3)
,,,,04,기물 재생성 속도 증가 (2/2)
,,,,05,채굴 효율 상승 (1/1)
,,,,06,매니저 스킬 활성화 (1/1)
,,,,07,매니저 채굴 범위 증가 (3/3)
,,,,08,매니저 채굴 데미지 증가 (3/3)
,,,,09,매니저 채굴 속도 증가 (3/3)
,,,,10,매니저 개수 증가 (1/1)
,,,,,
,upgrade_rank,강화 등급,,,
,,,,,
,설명,,,타입,
,"할당 된 int별로 구분 되는 스킬 강화 등급
전 단계의 스킬 업그레이드를 완료해야, 
다음 단계 스킬 업그레이드 가능
(일반 < 고급 < 전설) ",,,1,일반
,,,,2,고급
,,,,3,전설
,,,,,
,,,,,
,increase_by,강화시 수치 상승량,,,
,,,,,
,설명,,,예시,
,스킬 강화 타입별로 상승하는 수치,,,"수치:  '0.1' = 'x' + ('x' * 0.1)
x = 스킬 강화 타입의 현재 수치",
,,,,,
,,,,,
,sub_use,정기구독자 사용 유무,,,
,,,,,
,설명,,,,
,"정기구독자 (= 보스 자원)이 강화를 위해 필요한
타일의 유무 판단
(사용 유 = TRUE / 사용 무 = FALSE)",,,,
,,,,,
,,,,,
,,,,,
,follow_amount,구독자 사용량,,,
,,,,,
,설명,,,,
,"스킬 강화시 필요한 팔로우 (= 자원 타입) 수치
빈칸일 경우 = null",,,,
,,,,,
,,,,,
,,,,,
,watcher_amount,시청자 사용량,,,
,,,,,
,설명,,,,
,"스킬 강화시 필요한 시청자 (= 자원 타입) 수치
빈칸일 경우 = null",,,,
,,,,,
,,,,,
,,,,,
,love_amount,팬심 사용량,,,
,,,,,
,설명,,,,
,"스킬 강화시 필요한 팬심 (= 자원 타입) 수치
빈칸일 경우 = null",,,,
,,,,,
,,,,,
,,,,,
,donation_amount,도네이션 사용량,,,
,,,,,
,설명,,,,
,"스킬 강화시 필요한 도네이션 (= 자원 타입) 수치
빈칸일 경우 = null",,,,
,,,,,
,,,,,
,,,,,
,reddonation_amount,빨간 도네이션 사용량,,,
,,,,,
,설명,,,,
,"스킬 강화시 필요한 빨간 도네이션 (= 자원 타입) 수치
빈칸일 경우 = null",,,,
,,,,,
,,,,,
,,,,,
,img_name_ID,타일 이미지 리소스 ID,,,
,,,,,
,설명,,,,
,객체 이미지 리소스 참조 ID (res_img Table 참조),,,,
,,,,,
,,,,,
,,,,,
,sfx_name_ID,타일 사운드 리소스 ID,,,
,,,,,
,설명,,,,
,객체 사운드 리소스 참조 ID (res_sfx Table 참조),,,,
,,,,,
,,,,,
,,,,,
,vfx_name_ID,타일 이펙트 리소스 ID,,,
,,,,,
,설명,,,,
,객체 이펙트 리소스 참조 ID (res_vfx Table 참조),,,,
