,,
,piece_id,기물 ID
,,
,설명,
,기물의 속성을 지닌 5자리 ID,
,,
,piece_name,기물 이름
,,
,설명,
,보드에 생성되는 기물의 명칭,
,,
,currency_id,채굴 자원 종류
,,
,설명,
,"채굴되는 기물의 종류마다 유저가 획득하는 채굴 
자원의 참조 ID (currency Table 참조)",
,,
,,
,start_currency_amount,초기 채굴 자원량
,,
,설명,
,유저가 획득하게 되는 채굴 자원량의 수치,
,,
,piece_hp,기물 체력
,,
,설명,
,"채굴꾼의 공격으로부터 버티는 기물의 체력 수치
(수치가 0이 되었을 시, 기물 파괴)",
,,
,,
,img_name_ID,기물 이미지 리소스 ID
,,
,설명,
,객체 이미지 리소스 참조 ID (res_img Table 참조),
,,
,sfx_name_ID,기물 사운드 리소스 ID
,,
,설명,
,객체 사운드 리소스 참조 ID (res_sfx Table 참조),
,,
,vfx_name_ID,기물 이펙트 리소스 ID
,,
,설명,
,객체 이펙트 리소스 참조 ID (res_vfx Table 참조),
,,
